id_empresa,nombre,tipo,sector,pais,telefono,email,direccion
EMP1,Empresa 1 CO,"Sociedad Limitada, Sociedad Colectiva",Alimentos,Guatemala,44763931,empresa1@gmail.com,Direccion 1 zona 1 avenida 6
EMP2,Empresa 2 CO,Sociedad Anónima,Software,Honduras,42754857,empresa2@gmail.com,Direccion 2 zona 8 avenida 7
EMP3,Empresa 3 CO,"Sociedad Limitada, Sociedad Colectiva",Alimentos,Panamá,42340317,empresa3@gmail.com,Direccion 3 zona 13 avenida 8
EMP4,Empresa 4 CO,Sociedad Anónima,Software,Costa Rica,40993076,empresa4@gmail.com,Direccion 4 zona 20 avenida 9
EMP5,Empresa 5 CO,Sociedad Anónima,Alimentos,Belice,49123812,empresa5@gmail.com,Direccion 5 zona 9 avenida 10
EMP6,Empresa 6 CO,Sociedad Anónima,Alimentos,Costa Rica,48469723,empresa6@gmail.com,Direccion 6 zona 7 avenida 11
EMP7,Empresa 7 CO,Sociedad Anónima,Automotriz,El Salvador,47055625,empresa7@gmail.com,Direccion 7 zona 15 avenida 12
EMP8,Empresa 8 CO,Sociedad Anónima,Banca,Panamá,46713449,empresa8@gmail.com,Direccion 8 zona 8 avenida 13
EMP9,Empresa 9 CO,Sociedad Anónima,Alimentos,Nicaragua,41997275,empresa9@gmail.com,Direccion 9 zona 4 avenida 14
EMP10,Empresa 10 CO,"Sociedad Limitada, Sociedad Colectiva",Automotriz,Costa Rica,40750487,empresa10@gmail.com,Direccion 10 zona 18 avenida 15
EMP11,Empresa 11 CO,"Sociedad Limitada, Sociedad Colectiva",Software,Guatemala,48906494,empresa11@gmail.com,Direccion 11 zona 16 avenida 16
EMP12,Empresa 12 CO,"Sociedad Limitada, Sociedad Colectiva",Software,Costa Rica,48150509,empresa12@gmail.com,Direccion 12 zona 5 avenida 17
EMP13,Empresa 13 CO,"Sociedad Limitada, Sociedad Colectiva",Banca,Guatemala,41317355,empresa13@gmail.com,Direccion 13 zona 18 avenida 18
EMP14,Empresa 14 CO,"Sociedad Limitada, Sociedad Colectiva",Automotriz,Panamá,44097000,empresa14@gmail.com,Direccion 14 zona 18 avenida 19
EMP15,Empresa 15 CO,Sociedad Anónima,Automotriz,Honduras,44954686,empresa15@gmail.com,Direccion 15 zona 14 avenida 20
